t/s	U/V
16965,039	4,113
16985,053	4,112
17005,066	4,111
17025,080	4,111
17045,094	4,110
17065,108	4,110
17085,121	4,110
17105,135	4,109
17125,149	4,109
17145,163	4,108
17165,176	4,108
17185,190	4,107
17205,204	4,107
17225,218	4,106
17245,231	4,106
17265,245	4,105
17285,259	4,104
17305,272	4,104
17325,286	4,103
17345,300	4,103
17365,314	4,102
17385,327	4,101
17405,341	4,101
17425,355	4,100
17445,369	4,100
17465,382	4,099
17485,396	4,098
17505,410	4,098
17525,424	4,097
17545,437	4,097
17565,451	4,096
17585,465	4,095
17605,479	4,094
17625,492	4,094
17645,506	4,093
17665,520	4,092
17685,534	4,091
17705,547	4,090
17725,561	4,090
17745,575	4,089
17765,588	4,088
17785,602	4,087
17805,616	4,086
17825,630	4,086
17845,644	4,085
17865,657	4,084
17885,671	4,084
17905,685	4,083
17925,699	4,082
17945,712	4,081
17965,726	4,080
17985,740	4,080
18005,754	4,078
18025,767	4,078
18045,781	4,077
18065,795	4,076
18085,808	4,075
18105,822	4,074
18125,836	4,073
18145,850	4,072
18165,863	4,071
18185,877	4,071
18205,891	4,069
18225,905	4,068
18245,919	4,068
18265,932	4,067
18285,946	4,066
18305,960	4,065
18325,973	4,064
18345,987	4,064
18366,001	4,062
18386,015	4,061
18406,028	4,061
18426,042	4,060
18446,056	4,059
18466,069	4,058
18486,083	4,057
18506,097	4,056
18526,111	4,055
18546,124	4,054
18566,138	4,053
18586,152	4,052
18606,166	4,052
18626,179	4,051
18646,193	4,050
18666,207	4,049
18686,221	4,048
18706,234	4,047
18726,248	4,046
18746,262	4,045
18766,276	4,044
18786,289	4,043
18806,303	4,043
18826,317	4,042
18846,331	4,041
18866,344	4,040
18886,358	4,039
18906,372	4,038
18926,386	4,037
18946,399	4,036
18966,413	4,036
18986,427	4,035
19006,441	4,034
19026,454	4,033
19046,468	4,032
19066,482	4,031
19086,496	4,030
19106,509	4,030
19126,523	4,029
19146,537	4,028
19166,550	4,027
19186,564	4,026
19206,578	4,025
19226,592	4,024
19246,605	4,024
19266,619	4,023
19286,633	4,022
19306,647	4,021
19326,661	4,020
19346,674	4,019
19366,688	4,019
19386,702	4,018
19406,715	4,017
19426,729	4,016
19446,743	4,015
19466,757	4,014
19486,770	4,013
19506,784	4,013
19526,798	4,012
19546,812	4,011
19566,825	4,011
19586,839	4,010
19606,853	4,009
19626,867	4,008
19646,880	4,007
19666,894	4,006
19686,908	4,006
19706,922	4,005
19726,935	4,004
19746,949	4,003
19766,963	4,002
19786,976	4,002
19806,990	4,001
19827,004	4,000
19847,018	3,999
19867,031	3,998
19887,046	3,997
19907,059	3,996
19927,073	3,995
19947,086	3,994
19967,100	3,993
19987,114	3,992
20007,128	3,992
20027,141	3,991
20047,155	3,990
20067,169	3,989
20087,183	3,988
20107,196	3,987
20127,210	3,986
20147,224	3,985
20167,238	3,984
20187,251	3,983
20207,265	3,982
20227,279	3,981
20247,293	3,980
20267,306	3,980
20287,320	3,978
20307,334	3,977
20327,347	3,976
20347,361	3,976
20367,375	3,975
20387,389	3,974
20407,403	3,972
20427,416	3,972
20447,430	3,971
20467,444	3,970
20487,457	3,969
20507,471	3,968
20527,485	3,967
20547,499	3,966
20567,512	3,965
20587,526	3,964
20607,540	3,963
20627,554	3,962
20647,567	3,961
20667,581	3,960
20687,595	3,959
20707,609	3,958
20727,622	3,957
20747,636	3,956
20767,650	3,955
20787,664	3,954
20807,677	3,953
20827,691	3,952
20847,705	3,952
20867,719	3,951
20887,732	3,950
20907,746	3,949
20927,760	3,948
20947,773	3,947
20967,787	3,946
20987,801	3,945
21007,815	3,944
21027,828	3,942
21047,842	3,942
21067,856	3,941
21087,870	3,940
21107,883	3,939
21127,897	3,937
21147,911	3,937
21167,925	3,936
21187,939	3,934
21207,952	3,933
21227,966	3,932
21247,980	3,931
21267,993	3,930
21288,007	3,930
21308,021	3,929
21328,035	3,927
21348,048	3,926
21368,062	3,925
21388,076	3,924
21408,090	3,924
21428,103	3,922
21448,117	3,921
21468,131	3,920
21488,145	3,919
21508,158	3,918
21528,172	3,917
21548,186	3,916
21568,200	3,915
21588,213	3,914
21608,227	3,913
21628,241	3,912
21648,255	3,911
21668,268	3,910
21688,282	3,909
21708,296	3,908
21728,309	3,907
21748,323	3,905
21768,337	3,904
21788,351	3,903
21808,364	3,902
21828,378	3,901
21848,392	3,900
21868,406	3,899
21888,419	3,898
21908,433	3,897
21928,447	3,896
21948,461	3,895
21968,474	3,893
21988,488	3,893
22008,502	3,891
22028,516	3,890
22048,529	3,889
22068,543	3,888
22088,557	3,887
22108,571	3,886
22128,585	3,885
22148,598	3,884
22168,612	3,883
22188,626	3,882
22208,639	3,881
22228,653	3,879
22248,667	3,878
22268,680	3,877
22288,694	3,876
22308,708	3,875
22328,722	3,874
22348,735	3,872
22368,749	3,872
22388,763	3,870
22408,777	3,870
22428,790	3,868
22448,804	3,868
22468,818	3,866
22488,832	3,865
22508,845	3,864
22528,859	3,863
22548,873	3,862
22568,887	3,861
22588,900	3,859
22608,914	3,858
22628,928	3,857
22648,942	3,856
22668,955	3,855
22688,969	3,854
22708,983	3,853
22728,997	3,852
22749,010	3,851
22769,024	3,849
22789,038	3,848
22809,051	3,848
22829,065	3,846
22849,079	3,845
22869,093	3,844
22889,106	3,843
22909,120	3,842
22929,134	3,840
22949,148	3,840
22969,161	3,838
22989,175	3,837
23009,189	3,836
23029,203	3,835
23049,216	3,834
23069,230	3,832
23089,244	3,832
23109,258	3,831
23129,271	3,829
23149,285	3,828
23169,299	3,827
23189,313	3,826
23209,326	3,825
23229,340	3,824
23249,354	3,823
23269,367	3,821
23289,381	3,820
23309,395	3,819
23329,409	3,818
23349,422	3,817
23369,436	3,816
23389,450	3,815
23409,464	3,814
23429,478	3,813
23449,491	3,811
23469,505	3,810
23489,519	3,809
23509,532	3,808
23529,546	3,806
23549,560	3,806
23569,574	3,805
23589,587	3,804
23609,601	3,802
23629,615	3,802
23649,629	3,800
23669,642	3,799
23689,656	3,798
23709,670	3,797
23729,684	3,796
23749,697	3,794
23769,711	3,793
23789,725	3,792
23809,739	3,791
23829,752	3,790
23849,766	3,789
23869,780	3,788
23889,794	3,787
23909,807	3,785
23929,821	3,785
23949,835	3,783
23969,849	3,782
23989,862	3,781
24009,876	3,780
24029,890	3,779
24049,904	3,778
24069,917	3,777
24089,931	3,776
24109,945	3,774
24129,959	3,773
24149,972	3,772
24169,986	3,771
24190,000	3,770
24210,013	3,769
24230,027	3,768
24250,041	3,766
24270,055	3,765
24290,069	3,764
24310,082	3,763
24330,096	3,762
24350,110	3,761
24370,123	3,759
24390,137	3,758
24410,151	3,757
24430,165	3,756
24450,178	3,755
24470,192	3,754
24490,206	3,752
24510,220	3,751
24530,234	3,750
24550,247	3,749
24570,261	3,748
24590,274	3,747
24610,288	3,746
24630,302	3,744
24650,316	3,743
24670,329	3,742
24690,344	3,741
24710,357	3,740
24730,371	3,739
24750,385	3,738
24770,398	3,736
24790,412	3,735
24810,426	3,735
24830,440	3,733
24850,453	3,732
24870,467	3,731
24890,481	3,730
24910,494	3,729
24930,508	3,727
24950,522	3,726
24970,536	3,725
24990,549	3,724
25010,563	3,723
25030,577	3,722
25050,591	3,720
25070,604	3,719
25090,618	3,718
25110,632	3,717
25130,646	3,716
25150,660	3,715
25170,673	3,714
25190,687	3,713
25210,701	3,711
25230,714	3,710
25250,728	3,709
25270,742	3,708
25290,755	3,707
25310,769	3,705
25330,783	3,705
25350,797	3,703
25370,810	3,702
25390,824	3,701
25410,838	3,700
25430,852	3,699
25450,865	3,698
25470,879	3,697
25490,893	3,696
25510,907	3,694
25530,920	3,693
25550,934	3,692
25570,948	3,691
25590,962	3,690
25610,975	3,688
25630,989	3,688
25651,003	3,686
25671,017	3,685
25691,030	3,684
25711,044	3,683
25731,058	3,682
25751,072	3,680
25771,085	3,680
25791,099	3,678
25811,113	3,677
25831,126	3,676
25851,140	3,675
25871,154	3,674
25891,168	3,672
25911,181	3,671
25931,195	3,670
25951,209	3,669
25971,223	3,668
25991,236	3,667
26011,250	3,666
26031,264	3,665
26051,278	3,663
26071,291	3,662
26091,305	3,661
26111,319	3,660
26131,333	3,659
26151,346	3,658
26171,360	3,657
26191,374	3,656
26211,388	3,655
26231,401	3,654
26251,415	3,652
26271,429	3,651
26291,443	3,650
26311,456	3,649
26331,470	3,648
26351,484	3,647
26371,498	3,646
26391,511	3,644
26411,525	3,643
26431,539	3,642
26451,553	3,641
26471,566	3,640
26491,580	3,639
26511,594	3,638
26531,607	3,636
26551,621	3,635
26571,635	3,634
26591,649	3,633
26611,662	3,632
26631,676	3,631
26651,690	3,629
26671,704	3,629
26691,717	3,627
26711,731	3,626
26731,745	3,625
26751,759	3,624
26771,772	3,623
26791,786	3,622
26811,800	3,621
26831,814	3,620
26851,827	3,618
26871,841	3,617
26891,855	3,616
26911,869	3,615
26931,882	3,614
26951,896	3,612
26971,910	3,611
26991,924	3,610
27011,937	3,609
27031,951	3,608
27051,965	3,607
27071,978	3,606
27091,992	3,605
27112,006	3,604
27132,020	3,602
27152,033	3,601
27172,047	3,600
27192,061	3,599
27212,075	3,597
27232,088	3,596
27252,102	3,595
27272,116	3,594
27292,130	3,592
27312,143	3,591
27332,157	3,590
27352,171	3,588
27372,185	3,587
27392,199	3,586
27412,212	3,584
27432,226	3,583
27452,240	3,582
27472,253	3,581
27492,267	3,579
27512,281	3,578
27532,294	3,576
27552,308	3,575
27572,322	3,574
27592,336	3,573
27612,350	3,571
27632,363	3,570
27652,377	3,569
27672,391	3,567
27692,405	3,566
27712,418	3,564
27732,432	3,563
27752,446	3,562
27772,459	3,560
27792,473	3,558
27812,487	3,557
27832,501	3,556
27852,514	3,554
27872,528	3,553
